Time	Cap_LAD_D1	Cap_LAD_D4	Cap_LAD_LAD3	Cap_LAD_RI	Cap_LCX_LCX1	Cap_RCA_AM	Cap_RCA_RPDA1	Cap_RCA_RPLB2	Cap_Aorta_Inlet	Cap_Aorta_Outlet	
110	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
111	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
112	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
113	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
114	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
115	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
116	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
117	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
118	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
119	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
120	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
121	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
122	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
123	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
124	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
125	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
126	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
127	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
128	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
129	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77011e-05	
130	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
